person_a,person_b,document_id,source_locator,synthetic
SYN-A,SYN-B,SYN-D1,input/dossier.md#syn-d1,true
SYN-A,SYN-B,SYN-D2,input/dossier.md#syn-d2,true
SYN-A,SYN-B,SYN-D5,input/dossier.md#syn-d5,true
SYN-A,SYN-C,SYN-D1,input/dossier.md#syn-d1,true
SYN-A,SYN-C,SYN-D5,input/dossier.md#syn-d5,true
SYN-A,SYN-D,SYN-D5,input/dossier.md#syn-d5,true
SYN-A,SYN-E,SYN-D5,input/dossier.md#syn-d5,true
SYN-A,SYN-F,SYN-D5,input/dossier.md#syn-d5,true
SYN-B,SYN-C,SYN-D1,input/dossier.md#syn-d1,true
SYN-B,SYN-C,SYN-D5,input/dossier.md#syn-d5,true
SYN-B,SYN-D,SYN-D5,input/dossier.md#syn-d5,true
SYN-B,SYN-E,SYN-D5,input/dossier.md#syn-d5,true
SYN-B,SYN-F,SYN-D5,input/dossier.md#syn-d5,true
SYN-C,SYN-D,SYN-D3,input/dossier.md#syn-d3,true
SYN-C,SYN-D,SYN-D5,input/dossier.md#syn-d5,true
SYN-C,SYN-E,SYN-D3,input/dossier.md#syn-d3,true
SYN-C,SYN-E,SYN-D5,input/dossier.md#syn-d5,true
SYN-C,SYN-F,SYN-D5,input/dossier.md#syn-d5,true
SYN-D,SYN-E,SYN-D3,input/dossier.md#syn-d3,true
SYN-D,SYN-E,SYN-D4,input/dossier.md#syn-d4,true
SYN-D,SYN-E,SYN-D5,input/dossier.md#syn-d5,true
SYN-D,SYN-F,SYN-D5,input/dossier.md#syn-d5,true
SYN-E,SYN-F,SYN-D5,input/dossier.md#syn-d5,true
SYN-E,SYN-F,SYN-D6,input/dossier.md#syn-d6,true
