document_id,person_id,role,confidence,source_id,synthetic
SYN-D1,SYN-A,listed,certain,SYN-D1,true
SYN-D1,SYN-B,listed,certain,SYN-D1,true
SYN-D1,SYN-C,listed,certain,SYN-D1,true
SYN-D2,SYN-A,sender,certain,SYN-D2,true
SYN-D2,SYN-B,recipient,certain,SYN-D2,true
SYN-D3,SYN-C,listed,certain,SYN-D3,true
SYN-D3,SYN-D,listed,certain,SYN-D3,true
SYN-D3,SYN-E,listed,certain,SYN-D3,true
SYN-D4,SYN-D,sender,certain,SYN-D4,true
SYN-D4,SYN-E,recipient,certain,SYN-D4,true
SYN-D5,SYN-A,listed,certain,SYN-D5,true
SYN-D5,SYN-B,listed,certain,SYN-D5,true
SYN-D5,SYN-C,listed,certain,SYN-D5,true
SYN-D5,SYN-D,listed,certain,SYN-D5,true
SYN-D5,SYN-E,listed,certain,SYN-D5,true
SYN-D5,SYN-F,listed,certain,SYN-D5,true
SYN-D6,SYN-E,sender,certain,SYN-D6,true
SYN-D6,SYN-F,recipient,probable,SYN-D6,true
